Category,FY,Year,Energy_Charge,Fixed_Charge,YoY_pct
HT Industry,2019-20,2019,6.85,463.0,
HT Industry,2022-23,2022,8.12,,18.54014598540146
HT Industry,2023-24,2023,7.48,,-7.881773399014769
HT Industry,2024-25,2024,8.12,,8.55614973262031
LT Agriculture (Metered),2018-19,2018,2.09,,
LT Agriculture (Metered),2019-20,2019,3.79,,81.33971291866031
LT Agriculture (Metered),2022-23,2022,2.35,,-37.99472295514512
LT Agriculture (Metered),2024-25,2024,2.35,,0.0
LT Commercial (0-20kW),2018-19,2018,5.28,,
LT Commercial (0-20kW),2019-20,2019,7.18,1.38,35.98484848484846
LT Commercial (0-20kW),2022-23,2022,1.17,3.54,-83.70473537604457
LT Commercial (0-20kW),2023-24,2023,6.59,,463.2478632478633
LT Commercial (0-20kW),2024-25,2024,1.17,3.54,-82.24582701062215
LT Industry (0-20kW),2018-19,2018,17.4,13207.0,
LT Industry (0-20kW),2022-23,2022,5.94,422.0,-65.86206896551722
LT Industry (0-20kW),2023-24,2023,6.76,,13.804713804713797
LT Industry (0-20kW),2024-25,2024,5.94,422.0,-12.130177514792894
LT Residential (0-100u),2018-19,2018,3.0,,
LT Residential (0-100u),2019-20,2019,3.46,100.0,15.333333333333332
LT Residential (0-100u),2022-23,2022,4.01,,15.895953757225435
LT Residential (0-100u),2023-24,2023,2.2,,-45.137157107231914
LT Residential (0-100u),2024-25,2024,4.01,,82.27272727272725
